player_key,player_name,team_committed,deal_value,deal_count,sport_name,player_state,player_position,player_class_year
147626.0,Malik Moore,Xavier,,1,,CA,SG,2022.0
147627.0,Ryan Conwell,Louisville,,1,Basketball,IN,SF,2022.0
147629.0,Marcus Kell,Western Carolina,,1,Basketball,SC,SG,2022.0
147630.0,Terrell Anderson,NC State,,1,Football,NC,WR,2024.0
147637.0,Kam Craft,Georgia Tech,,1,Basketball,GA,SG,2022.0
147640.0,Tom House,Furman,,2,Basketball,OH,SF,2022.0
147644.0,Tyler Bilodeau,UCLA,,2,Basketball,WA,PF,2022.0
147648.0,Jacob Conner,Dayton,,1,Basketball,OH,SF,2022.0
147649.0,Micah Handlogten,Florida,,2,Basketball,NC,C,2022.0
147657.0,James Turner,Michigan,,2,,MI,K,2019.0
147666.0,Jon Mitchell,Georgia Tech,,2,Football,FL,CB,2024.0
147667.0,Antione Jackson,UCF,,2,Football,FL,CB,2023.0
147668.0,Trey'Dez Green,LSU,,3,Football,LA,TE,2024.0
147679.0,Jadan Baugh,Florida,,2,Football,GA,RB,2024.0
147681.0,Dre'lon Miller,Colorado,,1,Football,TX,WR,2024.0
147692.0,Jacob Smith,Kentucky,,1,Football,KY,EDGE,2024.0
147693.0,Jerod Smith,Kentucky,,1,Football,KY,DL,2024.0
147721.0,Ethan Burke,Texas,,1,Football,TX,EDGE,2022.0
147724.0,Tyren Moore,Georgia Southern,,2,,KY,CG,2020.0
147726.0,Langston Reynolds,Minnesota,,1,Basketball,CO,CG,2022.0
147757.0,Julian Margrave,South Alabama,,1,Basketball,NH,PF,2022.0
147763.0,Nick Martinelli,Northwestern,,1,Basketball,IL,SF,2022.0
147784.0,Jamar Franklin,South Alabama,,1,Basketball,FL,CG,2022.0
147804.0,DeAndre Cook,Penn State,,1,Football,DC,DL,2024.0
147814.0,Dillon Thieneman,Oregon,,2,Football,IN,S,2023.0
147815.0,Myles Graham,Florida,,5,Football,FL,LB,2024.0
147836.0,Daylan Hamilton,Indiana University - Indianapolis,,1,,TX,CG,2020.0
147854.0,Rasheem Biles,Pittsburgh,,1,Football,OH,LB,2023.0
147858.0,Jayden Bonsu,Pittsburgh,,2,Football,NJ,S,2023.0
147904.0,DeShon Singleton,Nebraska,,1,Football,LA,S,2021.0
147933.0,Ryan Montgomery,Georgia,,1,Football,OH,QB,2025.0
147934.0,Jaylen McClain,Ohio State,,1,Football,NJ,S,2024.0
147980.0,Ismael Cisse,Arkansas,,2,Football,CO,WR,2023.0
147985.0,Aidan Chiles,Michigan State,,1,Football,CA,QB,2023.0
148008.0,Ryan Staub,Colorado,,1,Football,CA,QB,2023.0
148190.0,Luke Baklenko,Oklahoma,,2,Football,CA,IOL,2023.0
148225.0,Caleb Lomu,Utah,,5,Football,AZ,IOL,2023.0
148250.0,Corey McIntyre Jr.,West Virginia,,1,Football,FL,DL,2023.0
148273.0,Gavin Geweniger,Stanford,,1,Football,AZ,LB,2023.0
148411.0,Calvin Simpson-Hunt,Baylor,,2,Football,TX,CB,2023.0
148412.0,Uso Seumalo,Kansas State,,4,Football,KS,DL,2020.0
148779.0,Connor Serven,Virginia Tech,,1,,IL,PF,2020.0
149104.0,Daniel Sill,Texas Tech,,1,Football,TX,OT,2023.0
149254.0,Kam Franklin,Ole Miss,,1,Football,MS,DL,2024.0
149531.0,Censere Lee,Pittsburgh,,1,Football,FL,WR,2022.0
149580.0,Jackson Carver,Miami,,1,Football,IN,TE,2023.0
149582.0,Edrees Farooq,Tennessee,,1,Football,MD,S,2024.0
149705.0,Kelby Valsin,Texas Tech,,2,Football,TX,WR,2023.0
149721.0,Brad Spence,Texas,,1,Football,TX,EDGE,2023.0
149733.0,Marcellius Pulliam,Michigan State,,1,Football,GA,LB,2023.0
149738.0,Jmaury Davis,Texas Tech,,1,Football,TX,RB,2023.0
149741.0,Braelen Bridges,Georgia,,1,,GA,PF,2019.0
149743.0,John Curry,Texas Tech,,2,Football,TX,LB,2023.0
149750.0,Aaron Chiles,Florida,,1,Football,MD,LB,2024.0
149755.0,Marcus Williams,University of San Francisco,,1,Basketball,TX,SG,2020.0
149760.0,Dee Williams,Tennessee,,3,Football,GA,CB,2019.0
149766.0,Tamarcus Cooley,LSU,,1,Football,NC,S,2023.0
149782.0,Deante McCray,Florida State,,1,Football,FL,EDGE,2022.0
149794.0,Kobe Savage,Oregon,,2,Football,TX,S,2019.0
149795.0,Kevin Jennings,SMU,,1,Football,TX,QB,2022.0
149796.0,Maverick Baranowski,Minnesota,,3,Football,FL,LB,2022.0
149823.0,Asani Redwood,West Virginia,,1,Football,GA,DL,2022.0
149829.0,Marquise Robinson,Arkansas,,1,Football,MS,CB,2021.0
149834.0,Jaden Henley,Grand Canyon University,,1,Basketball,ON,CG,2022.0
149860.0,Anthony Olsen,BYU,,1,Football,UT,TE,2022.0
149870.0,James Neal,Iowa State,,1,Football,KS,OT,2021.0
149896.0,DJ Wingfield,USC,,1,Football,CA,OT,2019.0
149959.0,Kameron Hamilton,Tulane,,1,Football,LA,DL,2022.0
149980.0,Jacoby Jones,UCF,,1,Football,MS,WR,2020.0
