unitid,nil_deal_count,nil_total_dollars,nil_avg_deal,nil_median_deal,nil_verified_count,nil_distinct_players,nil_distinct_companies,nil_stars_sum,nil_stars_weighted_total,nil_dollars_per_star
228884,265,42537256.0,160517.94716981132,0.0,0,90,140,376.0,212686280.0,565655.0
229063,2,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
229115,133,0.0,0.0,0.0,0,77,26,121.0,0.0,0.0
230171,133,0.0,0.0,0.0,0,45,67,98.0,0.0,0.0
230728,24,0.0,0.0,0.0,0,21,6,9.0,0.0,0.0
230782,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
231174,4,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0
231624,2,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
232186,13,0.0,0.0,0.0,0,11,3,3.0,0.0,0.0
232265,3,0.0,0.0,0.0,0,2,2,6.0,0.0,0.0
232423,6,0.0,0.0,0.0,0,4,5,0.0,0.0,0.0
232557,17,0.0,0.0,0.0,0,10,9,38.0,0.0,0.0
232937,2,0.0,0.0,0.0,0,2,0,7.0,0.0,0.0
232982,6,0.0,0.0,0.0,0,5,2,3.0,0.0,0.0
233277,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
233374,7,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0
233541,2,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
235097,2,0.0,0.0,0.0,0,1,1,6.0,0.0,0.0
235316,23,0.0,0.0,0.0,0,13,9,31.0,0.0,0.0
236328,6,0.0,0.0,0.0,0,1,5,0.0,0.0,0.0
236595,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
236939,9,0.0,0.0,0.0,0,6,5,3.0,0.0,0.0
237525,18,0.0,0.0,0.0,0,11,14,6.0,0.0,0.0
238032,86,0.0,0.0,0.0,0,55,31,53.0,0.0,0.0
238616,51,0.0,0.0,0.0,0,30,31,27.0,0.0,0.0
239105,2,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
240277,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
240453,1,0.0,0.0,0.0,0,1,1,3.0,0.0,0.0
240727,14,0.0,0.0,0.0,0,8,8,6.0,0.0,0.0
243744,179,0.0,0.0,0.0,0,90,43,207.0,0.0,0.0
433660,4,0.0,0.0,0.0,0,2,3,0.0,0.0,0.0
447014,28,0.0,0.0,0.0,0,14,13,9.0,0.0,0.0
452373,41,1893437.0,46181.39024390244,0.0,0,27,20,29.0,5680311.0,195872.7931034483
482565,96,3897386.0,40597.770833333336,0.0,0,45,68,79.0,19486930.0,246670.0
486840,1,0.0,0.0,0.0,0,1,1,3.0,0.0,0.0
