company_name,n_deals,n_unique_athletes,total_nil_value,avg_nil_value,top_school,top_position
Mercury,11,11,0.0,0.0,Oklahoma,EDGE
Youth on Course,11,11,0.0,0.0,Oregon,G
Ronald McDonald House Charities of Central Ohio,10,10,0.0,0.0,Ohio State,OT
OKstateNFT,10,9,0.0,0.0,Oklahoma State,LB
We Are Blood,10,10,0.0,0.0,Texas,WR
The V Foundation,10,10,0.0,0.0,NC State,C
Passes,10,9,0.0,0.0,Texas,WR
Weigel's Stores,10,8,0.0,0.0,Tennessee,PG
Community Cancer Fund,10,10,0.0,0.0,Gonzaga University,PG
WTC Fiber,10,8,0.0,0.0,Kansas State,SG
On Running,10,10,0.0,0.0,Stanford,DR
Sprecher Brewery,10,10,0.0,0.0,Wisconsin,OT
Austin Pets Alive!,10,10,0.0,0.0,Texas,DL
Otter Tail Country,10,8,0.0,0.0,Minnesota,SF
Boosted Biz,10,10,0.0,0.0,Ohio State,CG
American Heart Association,10,9,0.0,0.0,Virginia Tech,LB
Reese’s,10,10,0.0,0.0,Stephen F. Austin,RB
Arby's,10,10,0.0,0.0,Arizona State,IOL
Taco Bell,10,10,3210118.0,1605059.0,Colorado,CG
Freddy's,10,10,0.0,0.0,Sam Houston State,QB
Boost Mobile,10,10,0.0,0.0,Colorado,S
Susan G. Komen Foundation,10,10,0.0,0.0,Kansas State,OH
TIAA,10,10,0.0,0.0,Connecticut,CG
YOKE,10,10,0.0,0.0,Duke,WR
Troy Pediatric Clinic & Collegiate Health,10,10,0.0,0.0,Troy,EDGE
NextGen America,9,9,0.0,0.0,Northwestern,SG
Dove,9,8,0.0,0.0,UCLA,PG
Children's Safety Center,9,9,0.0,0.0,Arkansas,CG
Star Pizza,9,7,0.0,0.0,Houston,SG
Family Promise,9,9,0.0,0.0,Kansas,SG
Made For More Mentorship Academy,9,9,0.0,0.0,Florida,EDGE
HAAM,9,9,0.0,0.0,Texas,WR
Memphis Athletic Ministries,9,8,0.0,0.0,Memphis,DL
Amazon Prime,9,9,2288842.0,2288842.0,Alabama,QB
Boys & Girls Club of Manhattan,9,9,0.0,0.0,Kansas State,CG
Iowa Cubs,9,8,0.0,0.0,Iowa State,CG
Iowa 80 Truckstop,9,9,0.0,0.0,Iowa,SG
Triumph Together,9,9,0.0,0.0,Stanford,LB
NOBULL,9,7,0.0,0.0,Belmont University,RB
Woodling Chiropractic,9,7,0.0,0.0,Troy,WR
The GLD Shop,9,9,0.0,0.0,Ole Miss,WR
TDECU,9,9,0.0,0.0,Houston,SG
Honeydew,9,9,0.0,0.0,Florida,MF
The Contemporary Austin,9,9,0.0,0.0,BYU,EDGE
ScienceLogic,9,9,0.0,0.0,Ohio State,EDGE
Ascension Seton,9,9,0.0,0.0,Texas,DL
Cash App,9,9,0.0,0.0,UCLA,CG
Arnold & Itkin LLP,8,8,0.0,0.0,Texas,WR
Johnso Creative,8,8,0.0,0.0,South Carolina,DF
Food Lifeline,8,7,0.0,0.0,Washington,PG
Champions for Literacy,8,7,0.0,0.0,Memphis,CB
Mike Morse Law Firm,8,7,0.0,0.0,Northwestern,EDGE
Wescom Credit Union,8,8,0.0,0.0,UCLA,PG
Ronald McDonald House Bay Area,8,8,0.0,0.0,Stanford,QB
J.T. Woolverton Foundation,8,8,0.0,0.0,UCLA,SG
Schnucks,8,8,0.0,0.0,Missouri,PG
GOAT Fuel,8,8,0.0,0.0,Utah,WR
Casey’s,8,8,0.0,0.0,Tennessee,TE
CommUnity Crisis Services,8,8,0.0,0.0,Iowa,LB
Postmates,8,8,0.0,0.0,Oregon State,QB
GoMart,8,8,0.0,0.0,West Virginia,PF
SoFi,8,7,0.0,0.0,Michigan,CG
Orlando City SC,8,8,0.0,0.0,UCF,LS
MarketPryce,8,8,0.0,0.0,Florida State,C
Commond Ground Troy,8,7,0.0,0.0,Troy,S
Make-A-Wish Utah,8,8,0.0,0.0,Utah,EDGE
American Red Cross,8,8,0.0,0.0,SMU,DL
Mondelez,8,8,1500772.0,1500772.0,Florida Gulf Coast University,CG
Bread of the Mighty,8,8,0.0,0.0,Florida,LB
More Than Sports,8,8,0.0,0.0,Georgia,RB
Hally,8,8,0.0,0.0,Tennessee,OF
Ricart Automotive,8,8,4199730.0,4199730.0,Ohio State,WR
FanBasis,8,8,0.0,0.0,South Carolina,PF
Sammy’s Buddy Program,8,8,0.0,0.0,Utah,WR
Sonic,8,8,2125345.0,2125345.0,Texas,WR
Lubbock Habitat for Humanity,8,8,0.0,0.0,Texas Tech,OT
State Bicycle Co.,8,8,0.0,0.0,Arizona State,QB
State College Quarterback Club,8,8,0.0,0.0,Penn State,IOL
Steve Madden,7,7,0.0,0.0,Oregon,PV
Athlicity,7,7,0.0,0.0,Florida,DF
Garnet & Gold,7,7,0.0,0.0,Florida State,OH
Jersey Wave,7,7,0.0,0.0,Jackson State,K
Bench Bash,7,7,0.0,0.0,Oregon State,LB
Jimmy's Famous Seafood,7,7,0.0,0.0,North Carolina,WR
ZOA Energy,7,7,0.0,0.0,Austin Peay,CG
Trojan Threads Apparel Company,7,7,0.0,0.0,Troy,WR
Stop the Violence Indianapolis,7,6,0.0,0.0,Indiana,WR
Boys & Girls Clubs Central Wyoming,7,4,0.0,0.0,Wyoming,DL
Randy Wise Automotive Team,7,7,0.0,0.0,Michigan,CB
SI Swimsuit,7,6,0.0,0.0,Houston,All
Dale Howard Auto Center,7,7,0.0,0.0,Iowa,QB
Ken Garff Hole in One Challenge,7,7,0.0,0.0,Utah,LB
The Trust Fantasy Camp,7,7,0.0,0.0,Illinois,WR
sweetgreen,7,7,0.0,0.0,Minnesota,WR
Cancer Pathways,7,7,0.0,0.0,Washington,WR
Campus Mogul,7,7,0.0,0.0,Maryland,QB
Dexcom,7,7,0.0,0.0,UTSA,AT
Tecovas,7,7,0.0,0.0,LSU,All
Homefield,7,7,0.0,0.0,Indiana,CB
MoneyLion,7,7,0.0,0.0,Kansas State,SG
Stanley,7,7,0.0,0.0,Western Kentucky,PG
Dollar Shave Club,7,7,0.0,0.0,UCLA,QB
Town & Country Home Center,7,7,0.0,0.0,Troy,RB
FanBox,7,7,0.0,0.0,BYU,WR
Fan Arch,7,7,0.0,0.0,Kansas State,S
Kindness Campaign,7,7,0.0,0.0,Texas,RB
Prime Video,7,7,0.0,0.0,Tennessee,WR
Amazon,7,7,1500772.0,1500772.0,LSU,All
The Players Lounge,7,7,0.0,0.0,Tennessee,WR
7th Avenue Pizza,7,7,0.0,0.0,Minnesota,PF
Meals on Wheels Central Texas,7,7,0.0,0.0,Texas,OT
PrairieLand Partners,7,7,0.0,0.0,Kansas State,IOL
Wolverine Weekend,7,7,0.0,0.0,,TE
Nittany Lion Summer Impact Football Camp,7,7,0.0,0.0,Penn State,LB
Mizzen+Main,7,6,0.0,0.0,UCF,QB
Past and Present Celebration,7,7,0.0,0.0,Penn State,TE
Hanes,7,7,0.0,0.0,Indiana,SG
Big Climb Seattle,6,6,0.0,0.0,Washington,OT
CB18 Wing Eating Contest,6,6,0.0,0.0,South Carolina,OT
Boys and Girls Clubs of Hartford,6,6,0.0,0.0,Connecticut,RB
REATHLETE,6,6,0.0,0.0,Ole Miss,RB
Lamborghini Austin,6,6,0.0,0.0,Texas,WR
Lacrosse Unlimited,6,6,0.0,0.0,Georgetown,MF
Booster Athletes,6,6,0.0,0.0,Kentucky,QB
Troy Regional Primary Care Clinic,6,6,0.0,0.0,Troy,DL
Keller Williams Sports + Entertainment,6,6,0.0,0.0,Oklahoma,WR
Les Schwab Tires,6,6,0.0,0.0,Oregon State,IOL
Robbins Motor Company,6,6,0.0,0.0,Kansas State,RB
Riverside Casino & Golf Resort,6,5,0.0,0.0,Iowa,SG
Cancer Support Community South Central Indiana,6,4,0.0,0.0,DePaul,SG
Bolay Kitchen,6,6,0.0,0.0,USF,IOL
Buick,6,6,0.0,0.0,UCLA,PG
Boise Hawks,6,6,2056072.0,2056072.0,Boise State,RB
Lubbock-Cooper ISD,6,6,0.0,0.0,Texas Tech,LB
Rick Gill M.D.,6,6,0.0,0.0,Troy,WR
Tommy Fund,6,6,0.0,0.0,Connecticut,PG
Red Bull,6,6,9516887.0,4758443.5,Florida,QB
Brooks Running,6,6,0.0,0.0,Texas A&M,S
Crossover Culture,6,6,0.0,0.0,LSU,SF
Heartland Memorabilia,6,6,0.0,0.0,Kansas State,IOL
Newk's Eatery,6,6,0.0,0.0,LSU,LB
Wrangler,6,6,0.0,0.0,Texas,MB
Pease Park Conservancy,6,6,0.0,0.0,Texas,S
AT&T,6,6,0.0,0.0,Ole Miss,QB
Michigan State University FCU,6,5,0.0,0.0,Michigan State,CG
Google,6,4,0.0,0.0,Florida,QB
Gopuff,6,6,0.0,0.0,Penn State,PG
