state_abbr,pct4g_st,pct5g_low_st,coverage_mobile_score
ID,0.544862741,0.389802239,0.4828385402
IL,0.974903452,0.867858416,0.9320854376000001
IN,0.987413435,0.861923239,0.9372173566
IA,0.984901031,0.893566579,0.9483672502
KS,0.985409858,0.812471586,0.9162345492
KY,0.888887828,0.644416236,0.7910991911999999
LA,0.950421784,0.744582622,0.8680861192
ME,0.605947853,0.421001093,0.531969149
MD,0.977967123,0.858169728,0.930048165
MA,0.985112253,0.83340468,0.9244292238
MI,0.742689817,0.462119846,0.6304618286000001
MN,0.946618455,0.779909808,0.8799349961999999
MS,0.957262621,0.720461095,0.8625420105999999
MO,0.945040334,0.697679235,0.8460958944
MT,0.63221859,0.377653799,0.5303926736
NE,0.914535865,0.610779909,0.7930334826000001
NV,0.624469343,0.376308026,0.5252048162
NH,0.873551242,0.53660854,0.7387741612000001
NJ,0.996117289,0.91849553,0.9650685854
NM,0.801644298,0.536788592,0.6957020156
NY,0.882915613,0.672805565,0.7988715938
NC,0.946859347,0.698703983,0.8475972013999999
ND,0.98337389,0.848384028,0.9293779451999999
OH,0.973976634,0.872246469,0.933284568
OK,0.996131255,0.858210231,0.9409628454
OR,0.684926193,0.332617886,0.5440028702
PA,0.918978545,0.738981221,0.8469796154
RI,0.997930775,0.915564872,0.9649844138
SC,0.979073446,0.793339299,0.9047797872000001
SD,0.962216993,0.771056259,0.8857526994
TN,0.8839945,0.610387273,0.7745516092
TX,0.927341614,0.737996419,0.851603536
UT,0.701510219,0.491383379,0.617459483
VT,0.864181475,0.395004117,0.6765105318
VA,0.910713644,0.580368046,0.7785754048
WA,0.727544163,0.53381702,0.6500533058
WV,0.664806648,0.438085469,0.5741181764
WI,0.876206003,0.634770041,0.7796316182
WY,0.766488677,0.368715168,0.6073792734
NAN,0.531738665,0.240842556,0.4153802214
NAN,0.369686665,0.33454781,0.355631123
NAN,0.058683495,0.01870775,0.042693197
NAN,0.630881146,0.616835311,0.625262812
NAN,0.777800482,0.22673587,0.5573746371999999
