team_committed,n_deals,n_unique_athletes,total_nil_value,avg_nil_value,median_nil_value,avg_consensus_rating,avg_stars
Southern Miss,9,7,0.0,0.0,0.0,88.39492725709563,
Georgia State,9,5,0.0,0.0,0.0,89.8091229632359,3.5
Pepperdine,9,8,0.0,0.0,0.0,,
UAB,9,7,0.0,0.0,0.0,89.35859037128841,3.6666666666666665
Ball State,9,6,0.0,0.0,0.0,78.71904761904761,
University of San Francisco,9,7,0.0,0.0,0.0,,
Bradley,9,5,0.0,0.0,0.0,,
Alabama A&M,8,1,0.0,0.0,0.0,,
Arkansas State,8,6,0.0,0.0,0.0,86.14536631846416,4.0
Bowling Green,8,5,0.0,0.0,0.0,84.67350719932242,3.0
Fordham,8,4,0.0,0.0,0.0,83.87142857142858,3.0
Oakland,8,2,0.0,0.0,0.0,,
Sam Houston State,8,5,0.0,0.0,0.0,87.66438570487485,4.0
Coastal Carolina,8,6,0.0,0.0,0.0,89.59223743647657,3.25
Richmond,7,1,0.0,0.0,0.0,,
Western Carolina,7,5,0.0,0.0,0.0,86.03888888888889,3.0
Seton Hall,7,4,0.0,0.0,0.0,89.18548913043477,3.0
Saint Joseph's University,7,6,0.0,0.0,0.0,84.55000000000001,3.0
Abilene Christian,7,3,0.0,0.0,0.0,87.39342913289117,3.0
DePaul,7,4,0.0,0.0,0.0,89.89468957258657,3.0
Jacksonville State,7,6,0.0,0.0,0.0,90.06322299077733,3.75
Bryant University,7,3,0.0,0.0,0.0,89.64289947187424,4.0
Loyola (Chi),7,4,0.0,0.0,0.0,91.04393883566692,3.0
Butler,7,4,0.0,0.0,0.0,92.67390792598052,
Miami (OH),7,3,0.0,0.0,0.0,85.20885446075663,3.75
Puget Sound,6,1,0.0,0.0,0.0,,
Old Dominion,6,5,0.0,0.0,0.0,83.91372145366711,3.0
Yale,6,4,0.0,0.0,0.0,87.0,3.0
James Madison,6,4,0.0,0.0,0.0,89.2940579710145,
Central Michigan,6,2,0.0,0.0,0.0,82.67272727272729,3.0
Rhode Island,5,4,0.0,0.0,0.0,,
UTEP,5,4,0.0,0.0,0.0,90.35454545454544,4.333333333333333
Northern Arizona,5,5,0.0,0.0,0.0,,
Massachusetts,5,5,0.0,0.0,0.0,86.25135046113307,
North Florida,5,1,0.0,0.0,0.0,,
North Dakota State,5,5,0.0,0.0,0.0,84.075,3.5
Howard,5,5,0.0,0.0,0.0,85.4001879583816,4.0
San Jose State,5,5,0.0,0.0,0.0,86.65,3.0
Xavier,5,5,0.0,0.0,0.0,83.5,
VCU,5,3,0.0,0.0,0.0,93.75152757307787,
New Hampshire,5,2,0.0,0.0,0.0,83.5,3.0
St. John Fisher,5,1,0.0,0.0,0.0,,
Middle Tennessee State,5,5,0.0,0.0,0.0,81.73700757575757,3.0
Fresno State,5,5,0.0,0.0,0.0,82.21515151515152,3.0
