team_committed,n_deals,n_unique_players,avg_rating,median_rating,avg_stars,median_stars,median_national_rank,top_brand
Norfolk State,2,2,90.0,90.0,3.5,3.5,279.0,
Louisiana Tech,2,2,,,,,,Life Wallet
Loyola Marymount,2,1,90.0,90.0,4.0,4.0,120.0,VerifiedInk
Marquette,2,2,,,,,,Marquette NIL Store
Drexel,2,1,,,,,,Nourished
Northern Illinois,2,2,90.0,90.0,4.0,4.0,115.0,Barstool Sports
Stetson,2,2,,,,,,Advanced Emurgent Care
Campbell,2,2,,,,,,Pizza Provisions
Mercer,2,1,,,,,,The Well Athlete
North Dakota,2,2,86.0,86.0,3.0,3.0,,ONIT Athelte
Texas Southern,2,2,,,,,,Take One Sportswear
Morgan State,2,2,,,,,,Harbor Bank
New Mexico State,2,1,,,,,,
Evansville,2,1,84.0,84.0,3.0,3.0,,Ronald McDonald House
Cornell,2,2,,,,,,Nike
Holy Cross,2,1,,,,,,Leaf Trading Cards
Murray State,2,2,93.0,93.0,4.0,4.0,73.0,The Real Estate Game
Incarnate Word,2,2,89.0,89.0,3.0,3.0,,VerifiedInk
Samford,2,2,,,,,,Cameo
Belmont University,2,1,,,,,,NOBULL
South Dakota,2,2,87.0,87.0,3.0,3.0,,
Albany,2,2,90.0,90.0,4.0,4.0,14.0,Boosted
William & Mary,2,2,,,,,,WWE
Navy,2,1,,,,,,
Shenandoah University,2,1,,,,,,Under Armour
New Haven,2,1,91.0,91.0,4.0,4.0,299.0,Red & Black Weekend Golf Tournament
Drake,2,2,,,,,,Simply Fuel
Cal Poly,2,2,,,,,,Taqueria Santa Cruz Express
Eastern Washington,2,1,88.0,88.0,3.0,3.0,,AHA Washington
University of North Carolina Asheville,1,1,,,,,,Favor Desserts
Centre College,1,1,,,,,,Besten and Dieruf
California State University-Fullerton,1,1,,,,,,Sprouts Farmers Market
Amherst College,1,1,,,,,,
Carson Newman College,1,1,,,,,,D1 Knoxville
University of Texas at Tyler Athletics,1,1,,,,,,CeraVe Skincare
"California, Pa.",1,1,,,,,,
Wisconsin-Milwaukee,1,1,85.0,85.0,3.0,3.0,,VerifiedInk
California Baptist University,1,1,,,,,,University Credit Union
Wisconsin-Green Bay,1,1,,,,,,Riverside Pizzeria
Arkansas-Pine Bluff,1,1,,,,,,MarketPryce
Cal Lutheran University,1,1,,,,,,Cameo
Winthrop,1,1,91.0,91.0,4.0,4.0,91.0,Cancer Support Community South Central Indiana
Bucknell,1,1,,,,,,Cameo
Army,1,1,,,,,,Cameo
Ashland University,1,1,,,,,,Shaklee
Weber State,1,1,,,,,,The Players  NIL
Chattanooga,1,1,,,,,,Weigel's Stores
West Florida,1,1,92.0,92.0,4.0,4.0,242.0,
Monmouth,1,1,,,,,,WWE
UNC Greensboro,1,1,,,,,,
Saint Mary's College of California,1,1,,,,,,
Robert Morris,1,1,,,,,,Dunkin'
Radford,1,1,,,,,,Rowdy Redz
Quinnipiac,1,1,,,,,,Whitney Donut & Sandwich Shop
Indiana University - Indianapolis,1,1,,,,,,CeraVe Skincare
Portland,1,1,,,,,,VerifiedInk
Point Park University,1,1,,,,,,WIFI Managment
Kennesaw State,1,1,86.0,86.0,3.0,3.0,141.0,Buffalo Wild Wings
Lake Erie College,1,1,,,,,,Popeyes
Le Moyne College,1,1,,,,,,
Lehigh,1,1,,,,,,Boosted Biz
Oral Roberts,1,1,,,,,,
North Carolina A&T,1,1,,,,,,
North Alabama,1,1,88.0,88.0,3.0,3.0,,
Mercyhurst College,1,1,87.0,87.0,3.0,3.0,,
Mississippi Valley State,1,1,,,,,,
Houston Christian,1,1,,,,,,VerifiedInk
San Diego,1,1,,,,,,
College of Charleston,1,1,,,,,,Dryworld
Seattle University,1,1,,,,,,Plantiful Superfoods
Concordia University Nebraska,1,1,90.0,90.0,4.0,4.0,,
Davidson,1,1,,,,,,
The University of Texas Rio Grande Valley,1,1,87.0,87.0,3.0,3.0,,ONIT Athelte
East Texas A&M Commerce,1,1,,,,,,Taylor Gang Entertainment
Fairfield University,1,1,,,,,,Boltion
Fort Valley State,1,1,,,,,,
Stony Brook,1,1,,,,,,VerifiedInk
Stephen F. Austin,1,1,87.0,87.0,3.0,3.0,,Reese’s
St. Thomas,1,1,,,,,,
Garden City Community College,1,1,85.0,85.0,3.0,3.0,,
Southwest Minnesota State,1,1,,,,,,Buffalo Wild Wings
Southern University,1,1,87.0,87.0,3.0,3.0,,ALCollection
George Washington University,1,1,,,,,,Sprouts Farmers Market
Grambling State,1,1,,,,,,Buffalo Wild Wings
Siena,1,1,,,,,,Dunkin'
Missouri-Kansas City,1,1,,,,,,Clean Energy
